"eid","oid","escid","subid","facid","name","abbreviation","parent","created","register","modified","updated","state","header","is_faculty"
"20154605046","1","5AGLM","1906","5","Agronomía - La Merced"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","9CE","1901","9","Administración","Administración","","2013-04-01 00:00:00","41951064RC","41951064RC","2013-04-30 00:00:00","A","\N","\N"
"20154605046","1","T10","1901","10","TODAS LAS ESCUELA DE CIENCIAS DE LA COMUNICACION","C. DE LA C.","","2014-05-05 10:31:11.094691","000XXX","","2014-04-15 00:00:00","A","","\N"
"20154605046","1","2OPC","1903","2","Educación Primaria Computación e Infomática- Oxapampa","","","2014-03-24 12:03:00","41951064AD","\N","\N","A","\N","\N"
"20154605046","1","5ZO","1901","5","Zootecnia"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_5ZO_1901","\N"
"20154605046","1","4MI","1901","4","Minas"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","T7","1901","7","Todas la escuelas de derecho","derecho","","2014-05-27 04:05:01","46654722AD","\N","\N","A","\N","\N"
"20154605046","1","5AX","1903","5","Agronomía - Oxapampa"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_5AX_1903","\N"
"20154605046","1","0ME","1901","0","Medicina Humana","Medicina","","2013-04-11 00:00:00","41951064RC","\N","\N","A","20154605046_1_0ME_1901","\N"
"20154605046","1","5AG-Y","1904","5","Agronomía - Yanahuanca"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","\N","\N"
"20154605046","1","5AGPA","1907","5","Agronomía-Paucartambo"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_5AGPA_1907","\N"
"20154605046","1","5ZX","1903","5","Zootecnia - Oxapampa"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_5ZX_1903","\N"
"20154605046","1","5AG","1901","5","Agronomía"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_5AG_1901","\N"
"20154605046","1","2EP","1901","2","Educación Primaria"," ","","2012-07-06 10:07:17","000XXX","\N","\N","A","20154605046_1_2EP_1901","\N"
"20154605046","1","4AM","1901","4","Ambiental"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_4AM_1901","\N"
"20154605046","1","5IA","1906","5","Industrias Alimentarias - La Merced"," ","","2012-07-06 10:07:18","000XXX","\N","\N","A","20154605046_1_5IA_1906","\N"
